STATE,FACILITY ID,FACILITY NAME,FACILITY ADDRESS,FACILITY STATUS,FACILITY CATEGORY,NO. OF STALLS,MONTHLY INVENTORY,PARKWHIZ,# of stall,WAY.COM,# of stall,NEIGHBOR,# of stall,SPACER,# of stall,GPS COORDINATES,FACILITY NOTES,REVENUE CATEGORY,LANDLORD,"FACILITY LOCATION
FOR WINTER SEASON",REMARKS LAST WINTER 2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IL,60970,1054 W Wellington Ave. - Left or Right Spot only,"1054 West Wellington Avenue Chicago, IL, 60657",IN OPERATION,Events and Daily ONLY,2,N/A,Not Listed,,Listed,1,Not Listed,,Not Listed,,"41.936722,-87.656167",,FIXED,Eli Gratz,Plain(Flat) Access,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MA,125089,"108 Callender St. - Spots #1, #2, #3, #4 or #5 Only","108 Callender Street, Boston, MA, 02124",IN OPERATION,Daily&Monthly,5,4,Listed,1,Not Listed,,Listed,1,Not Listed,,"42.28825,-71.083167",,FIXED,Groma Property Management ,Plain(Flat) Access,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NY,70177,108-29 66th Ave. - Left or Right Only,"108-29 66th Avenue NY, 11375",IN OPERATION,Daily&Monthly,2,1,Not Listed,,Not Listed,,Not Listed,,Not Listed,,"40.730658, -73.847127",N/A,N/A,Ravi Bhasin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MA,27903,"1089 Boylston St. - Spot #14, #15, or #16 Only","1089 Boylston Street, Boston, MA 02115",IN OPERATION,Events and Daily ONLY,3,N/A,Not Listed,,Not Listed,,Not Listed,,Not Listed,,"42.347417,-71.089333",,FIXED,Parking Boston Inc. - Jasmine Taylor,Plain(Flat) Access,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WASHINGTON DC,18993,109 C St. SE - Left or Right Whole Tandem Spot,"109 C Street Southeast, Washington, DC 20003",IN OPERATION,Daily Only,2,N/A,Not Listed,,Not Listed,,Not Listed,,Not Listed,,"38.885669, -77.005374",,FIXED,EJF Realty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WASHINGTON DC,,109 C St. SE - Right Tandem Spot (ARCHIVED),"109 C Street Southeast, Washington, DC 20003",PERMANENTLY CLOSED,PERMANENTLY CLOSED,0,0,Not Listed,,Not Listed,,Not Listed,,Not Listed,,N/A,N/A,N/A,EJF Realty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MA,19944,Compact Car Only: 109 Peterborough St. (Private Alley 932) - Spots #10 or #11,"109 Peterborough Street, Boston, MA 02215",IN OPERATION,Events and Daily ONLY,2,N/A,Not Listed,,Not Listed,,Not Listed,,Not Listed,,"42.343224,-71.100173",,FIXED,Sabet Management,Plain(Flat) Access,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MA,139737,10-12 Greenway Ct. - Parallel Spot #26 Only,"10-12 Greenway Court, Brookline, MA 02446",IN OPERATION,Events and Daily ONLY,1,N/A,Not Listed,,Not Listed,,Not Listed,,Not Listed,,"42°20'35.6""N 71°07'18.2""W",,FIXED,,Plain(Flat) Access,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MA,107241,16 Highgate St. (11 Linden St.) - Left Spot Only,"11 Linden Street, Boston, MA, 02134",IN OPERATION,Daily Only,1,N/A,Not Listed,,Not Listed,,Not Listed,,Not Listed,,"42.355472,-71.131315",,FIXED,June Homes - Ferran ,Plain(Flat) Access,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MA,69681,"11 Parker Hill Ave. - Spots #2, 3, 8, 9, or 12","11 Parker Hill Ave, Boston, MA 02120",IN OPERATION,Daily Monthly & Event,5,4,Not Listed,,Not Listed,,Not Listed,,Not Listed,,"42.332516,-71.110246",,FIXED,Atlas Group - Sarah Hamdeh,Plain(Flat) Access,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
