STATE,FACILITY ID,FACILITY NAME,FACILITY ADDRESS,FACILITY STATUS,FACILITY CATEGORY,NO. OF STALLS,MONTHLY INVENTORY,PARKWHIZ,# of stall,WAY.COM,# of stall,NEIGHBOR,# of stall,SPACER,# of stall,GPS COORDINATES,FACILITY NOTES,REVENUE CATEGORY,LANDLORD,"FACILITY LOCATION
FOR WINTER SEASON",REMARKS LAST WINTER 2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MA,88229,47 Gardner St. - Lot,"47 Gardner St, Boston, MA 02134, USA ",IN OPERATION,Daily Monthly & Event,9,8,Listed,1,Listed,0,Listed,1,Listed,1,"42.353417,-71.128722",,FIXED,Yan Schechter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MA,140128,47 Webster Ave. - Parallel Spot #1 or #2 Only,"47 Webster Avenue Somerville, MA, 02143",IN OPERATION,Daily Only,2,N/A,Not Listed,,Not Listed,,Not Listed,,Not Listed,,"42°22'36.9""N 71°05'44.7""W",,FIXED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NJ,148055,471 Liberty Ave. - Driveway Spot Only,"471 Liberty Avenue Jersey City, NJ 07307",IN OPERATION,Daily Only,1,N/A,Not Listed,,Not Listed,,Not Listed,,Not Listed,,"40°45'10.1""N 74°03'18.2""W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MA,132811,47 Newport St. - Whole Tandem Driveway Spot,"47 Newport Street, Boston, MA 02125",PERMANENTLY CLOSED,Daily Only,1,0,Not Listed,,Not Listed,,Not Listed,,Not Listed,,"42°19'02.7""N 71°03'15.8""W",,FIXED,Maria Wu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MA,,471 Massachusetts Ave. - Left or Right Spot (ARCHIVED),"471 Massachusetts Avenue, Boston, MA 02118",PERMANENTLY CLOSED,PERMANENTLY CLOSED,0,0,Not Listed,,Not Listed,,Not Listed,,Not Listed,,N/A,N/A,N/A,Breda O’ Connor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MA,2115,475 Beacon St. - Left Spot Only,"475 Beacon St, Boston, MA 02115",IN OPERATION,Events and Daily ONLY,1,N/A,Not Listed,,Not Listed,,Not Listed,,Not Listed,,"42°21'04.0""N 71°05'12.7""W",,,Cabot & Company - Mike Schwartz - ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MA,87911,475 Massachusetts Ave - Alley Spot,"475 Massachusetts Avenue, Boston, MA, 02118",IN OPERATION,Events and Daily ONLY,1,N/A,Not Listed,,Not Listed,,Not Listed,,Not Listed,,"42.339583,-71.080806",,FIXED,Parking Boston Inc. - Jasmine Taylor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MA,85332,477 Beacon St. - Left or Right Spot Only,"477 Beacon Street, Boston, MA, 02115",IN OPERATION,Events and Daily ONLY,2,N/A,Not Listed,,Not Listed,,Not Listed,,Not Listed,,"42.351111,-71.086833",,FIXED,Diego Camacho,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MA,110206,48 Allston St. - Garage Spot #8 Only,"48 Allston St, Allston, MA 02134, USA",IN OPERATION,Daily Only,1,N/A,Not Listed,,Not Listed,,Not Listed,,Not Listed,,"42.351444,-71.13525",,FIXED,Parking Boston Inc - Jasmine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MA,110207,"48 Allston St. - Spot #1, 2, 3, 4, 5, 6 or 7 Only","48 Allston St, Allston, MA 02134, USA",IN OPERATION,Daily&Monthly,7,6,Not Listed,,Not Listed,,Not Listed,,Not Listed,,"42.351444,-71.13525",,FIXED,Parking Boston Inc - Jasmine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MA,78228,"48 Maverick St. - Spot #1, 2,3, 4, 5 or #6","48 Maverick Street, Boston, MA, 02128",IN OPERATION,Daily&Monthly,6,5,Not Listed,,Not Listed,,Not Listed,,Not Listed,,"42.371189, -71.041264",,FIXED,Parking Boston Inc. - Jasmine Taylor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MA,21405,480 Massachusetts Ave. - Spot #1 or #2 Only,"480 Massachusetts Avenue, Boston, MA 02118",IN OPERATION,Events and Daily ONLY,2,N/A,Not Listed,,Not Listed,,Not Listed,,Not Listed,,"42°20'23.9""N 71°04'49.7""W",,FIXED,PGR Mgt./Heath Properties,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MA,88033,480 Shawmut Ave. - Left Spot Only,"480 Shawmut Ave, Boston, MA, 02118",IN OPERATION,Events and Daily ONLY,1,N/A,Not Listed,,Not Listed,,Not Listed,,Not Listed,,"42.338278,-71.075972",,FIXED,Boston Proper Real Estate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IL,,4826 N Wolcott Ave - Alley Spot #2 (ARCHIVED),"4826 North Wolcott Avenue, Chicago, IL 60640",PERMANENTLY CLOSED,PERMANENTLY CLOSED,0,0,Not Listed,,Not Listed,,Not Listed,,Not Listed,,N/A,N/A,N/A,Lucas Helliker,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MA,26584,486 Massachusetts Ave. - Spot #1,"486 Massachusetts Avenue, Boston, MA 02118",IN OPERATION,Events and Daily ONLY,1,N/A,Not Listed,,Not Listed,,Not Listed,,Not Listed,,"42.339833,-71.080333",,FIXED,Heath Properties,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WASHINGTON DC,,4888 MacArthur Blvd .NW - Private Spot (ARCHIVED),"4888 MacArthur Boulevard Northwest Washington, DC, 20007",PERMANENTLY CLOSED,PERMANENTLY CLOSED,0,0,Not Listed,,Not Listed,,Not Listed,,Not Listed,,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MA,135351,49 St. Mary's St. (5 Euston St.) - Left and Right Spot Only,"49 Saint Mary's Street Brookline, MA, 02446",IN OPERATION,Events and Daily ONLY,2,N/A,Not Listed,,Not Listed,,Not Listed,,Not Listed,,"42°20'53.7""N 71°06'25.3""W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MA,87043,"49 Walk Hill St. - Spot #1, 2 or 3 Only","49 Walk Hill, Jamaica Plain, MA 02130",IN OPERATION,Daily&Monthly,3,2,Not Listed,,Not Listed,,Not Listed,,Not Listed,,"42°17'39.2""N 71°06'53.4""W",,FIXED,Roost Living LLC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MA,111558,490 Columbia St. - Lot,"490 Columbia St, Somerville, MA 02143, USA",IN OPERATION,Daily&Monthly,22,19,Listed,3,Not Listed,,Listed,1,Not Listed,,"42.375083,-71.093859",,FIXED,Rotor Realty Corporation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MA,107038,"490 Washington St. - Spot #1, 2, 3, or 4 Only","490 Washington Street  Boston, MA, 02135",IN OPERATION,Daily&Monthly,4,3,Not Listed,,Not Listed,,Not Listed,,Not Listed,,"42.348889,-71.161139",,70/30,June Homes - Ferran ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IL,18896,4909 N Kenmore Ave.,"4909 North Kenmore Avenue, Chicago, IL 60640",IN OPERATION,Daily Monthly & Event,31,25,Listed,0,Listed,2,Not Listed,,Not Listed,,"41.971833,-87.655694",,FIXED,Ira Fishman,Plain(Flat) Access,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MA,104826,494 Washington St. - Left Garage Spot (ARCHIVED),"494 Washington St, Brighton, MA 02135",PERMANENTLY CLOSED,PERMANENTLY CLOSED,1,0,Not Listed,,Not Listed,,Not Listed,,Not Listed,,"42.348611,-71.161639",,FIXED,Haki Cebi c/o EDGE Management,Plain(Flat) Access,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CA ,117795,495 Wickson Ave. - Driveway Spot,"495 Wickson Avenue, Oakland, CA 94610",IN OPERATION,Daily Only,1,N/A,Not Listed,,Not Listed,,Not Listed,,Not Listed,,"37.811772,-122.246005",,FIXED,Curtis Fong,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MA,128454,"5 Chauncy St - Spots #3, #4, #5 or #6 Only  (ARCHIVED)","5 Chauncy Street Cambridge, MA, 02138",PERMANENTLY CLOSED,PERMANENTLY CLOSED,0,0,Not Listed,,Not Listed,,Not Listed,,Not Listed,,"42°22'47.8""N 71°07'15.0""W",,,"Lexwin Reality LLC - Carlos Xu, Property Manager",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MA,26221,"5 Grove St. - Spots #1 or #2 Only
","5 Grove Street, Boston, MA 02114",IN OPERATION,Events and Daily ONLY,2,N/A,Not Listed,,Not Listed,,Not Listed,,Not Listed,,"42.360889,-71.068778",,FIXED,Parking Boston Inc. -,Steep Access(inclined),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MA,136299,50 Green St. - Spot #18 Only,"50 Green Street, Brookline, MA, 02446",IN OPERATION,Events and Daily ONLY,1,N/A,Not Listed,,Not Listed,,Not Listed,,Not Listed,,"42°20'38.1""N 71°07'15.7""W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MA,27177,"50 Evergreen St. - Spots #9, 10, or 11","50 Evergreen Street, Boston, MA 02130",IN OPERATION,Daily&Monthly,3,2,Not Listed,,Not Listed,,Not Listed,,Not Listed,,"42.324194,-71.111806",,FIXED,Heath Properties,Plain(Flat) Access,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MA,110008,50 St. Stephen St. - Right Covered Spot Only,"50 St Stephen St, Boston, MA 02115",IN OPERATION,Events and Daily ONLY,1,N/A,Not Listed,,Not Listed,,Not Listed,,Not Listed,,"42.342083,-71.086694",,FIXED,Leora Ashouri,Plain(Flat) Access,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MA,133408,50-52 Linden Pl. - Spot #1 Only,"50-52 Linden Pl, Brookline, MA 02445, USA",PERMANENTLY CLOSED,Events and Daily ONLY,1,0,Not Listed,,Not Listed,,Not Listed,,Not Listed,,"42°20'05.7""N 71°06'58.6""W",,,The 50-52 Linden Place Realty Trust - Kelly Geduldig / Husband - Matt Geduldig,Plain(Flat) Access,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IL,,505 W Melrose St. - Spot #17 or #22 Only (ARCHIVED),"505 West Melrose Street, Chicago, IL, 60657",PERMANENTLY CLOSED,PERMANENTLY CLOSED,0,0,Not Listed,,Not Listed,,Not Listed,,Not Listed,,N/A,N/A,N/A,Agathe ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MA,,507 Beacon- P2 Whole Tandem Row (ARCHIVED),"505 Beacon Street, Boston, MA 02215",PERMANENTLY CLOSED,PERMANENTLY CLOSED,0,0,Not Listed,,Not Listed,,Not Listed,,Not Listed,,N/A,N/A,N/A,Parking Boston Inc. - Jasmine Taylor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MA,30712,509 Beacon St. - Left and Right Whole Tandem Row,"509 Beacon Street, Boston, MA 02215",IN OPERATION,Events and Daily ONLY,2,N/A,Not Listed,,Not Listed,,Not Listed,,Not Listed,,"42.349778,-71.091",,FIXED,Katie/ Fritzgerald Properties,Plain(Flat) Access,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WASHINGTON DC,82518,51 G St. SW - Spot #14 Only,"51 G Street Southwest, Washington, DC, 20024",IN OPERATION,Events and Daily ONLY,1,N/A,Not Listed,,Not Listed,,Not Listed,,Not Listed,,"38.881605,-77.01150299999999",,70/30,Chade Lowe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MA,,51 Scottfield Road - Spot #5 (ARCHIVED),"51 Scottfield Road, Boston, MA 02134",PERMANENTLY CLOSED,PERMANENTLY CLOSED,0,0,Not Listed,,Not Listed,,Not Listed,,Not Listed,,N/A,N/A,N/A,Parking Boston Inc. - Jasmine Taylor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ON ,72652,510 Ontario St. - Spot #2,"510 Ontario Street, Toronto, ON, M4X 1M8",IN OPERATION,Events and Daily ONLY,1,N/A,Not Listed,,Not Listed,,Not Listed,,Not Listed,,"43.66497,-79.3719152",,FIXED,Susan QH Tan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WASHINGTON DC,129543,510 H St. SW - Spot #3 or #4 Only,"510 H Street Southwest, Washington, DC, 20024",IN OPERATION,Events and Daily ONLY,2,N/A,Not Listed,,Not Listed,,Not Listed,,Not Listed,,"38°52'48.8""N 77°01'10.9""W",,,Addisu Hodes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NV,120636,5115 Dean Martin Dr. - Lot,"5115 Dean Martin Drive, Las Vegas, NV 89118",IN OPERATION,Event Only,20,0,Not Listed,,Not Listed,,Not Listed,,Not Listed,,"36.096833,-115.182722",,70/30,Steve Levesque,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NV,,5115 Dean Martin Dr. - Lot (Scan2Pay) (ARCHIVED),"5115 Dean Martin Drive, Las Vegas, NV 89118",PERMANENTLY CLOSED,PERMANENTLY CLOSED,0,0,Not Listed,,Not Listed,,Not Listed,,Not Listed,,"36°05'48.6""N 115°10'57.8""W",,,Steve Levesque,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MA,87269,51-53 Riverdale St. - Lot,"51-53 Riverdale St, Boston, MA 02134",IN OPERATION,Daily&Monthly,5,4,Not Listed,,Not Listed,,Not Listed,,Not Listed,,"42°21'43.3""N 71°07'59.3""W",,FIXED,Parking Boston Inc. - Jasmine Taylor,Steep Access(inclined),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MA,,52 Greycliff Rd. - Lot (ARCHIVED),"52 Greycliff Rd, Brighton, MA 02135",PERMANENTLY CLOSED,PERMANENTLY CLOSED,0,0,Not Listed,,Not Listed,,Not Listed,,Not Listed,,N/A,N/A,N/A,Andrew Cohen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MA,88228,52 Hopedale St. - Left and Right Spot,"52 Hopedale St. Allston, MA 02134
",IN OPERATION,Events and Daily ONLY,2,N/A,Not Listed,,Not Listed,,Not Listed,,Not Listed,,"42.360722,-71.125444",,FIXED,Jim Wang,Plain(Flat) Access,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MA,,520 Beacon St. - Spot Letter 'i' Only (ARCHIVED),"520 Beacon St, Boston, MA 02215",PERMANENTLY CLOSED,PERMANENTLY CLOSED,0,0,Not Listed,,Not Listed,,Not Listed,,Not Listed,,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MA,108824,521 Green St. - Left Whole Tandem Row,"521 Green St, Cambridge, MA 02139, USA",IN OPERATION,Daily Only,1,N/A,Not Listed,,Not Listed,,Not Listed,,Not Listed,,"42.367694,-71.109083",,FIXED,Parking Boston Inc- Jasmine,Plain(Flat) Access,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IL,97669,5211 N Glenwood Ave. - Spot #3 or #4 Only,"5211 N Glenwood Ave, Chicago, IL 60640",IN OPERATION,Daily Monthly & Event,2,1,Not Listed,,Not Listed,,Not Listed,,Not Listed,,"41.976667,-87.66425",,FIXED,,Plain(Flat) Access,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MA,148935,524 E 7th St. - Parallel Spot C1 Only,"524 East 7th Street Boston, MA 02127",PERMANENTLY CLOSED,Daily Only,1,N/A,Not Listed,,Not Listed,,Not Listed,,Not Listed,,"42°19'56.2""N 71°02'22.3""W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WASHINGTON DC,127497,525 G St. SW - Spot 'H' Only,"525 G Street Southwest, Washington, DC 20024",IN OPERATION,Daily Only,1,1,Not Listed,,Not Listed,,Not Listed,,Not Listed,,"38.881833, -77.019778",,,Jesse H Turner,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WASHINGTON DC,92749,"525 7th St. NE - P1, P2, P3 or P4","525 7th Street Northeast, Washington, DC, 20002",IN OPERATION,Daily&Monthly,4,3,Not Listed,,Not Listed,,Not Listed,,Not Listed,,"38.896861,-76.995611",,FIXED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CA,136300,527 E Manchester Blvd. - Lot,"527 East Manchester Boulevard, Inglewood, CA, 90301",IN OPERATION,Daily Monthly & Event,17,16,Listed,2,Not Listed,,Listed,17,Not Listed,,"33°57'39.3""N 118°20'50.5""W","PERMANENT PASSCODE: 529527

10-11 minutes away by walk to KIA FORUM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MD,148013,528 S Paca St. - Left or Right Spot Only,"528 South Paca Street, Baltimore, MD 21230",IN OPERATION,Event Only,0,N/A,Not Listed,,Not Listed,,Not Listed,,Not Listed,,"39°17'02.3""N 76°37'25.9""W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MA,108526,53 Putnam Ave. - Spot A or C Only,"53 Putnam Ave, Cambridge, MA, 02139",IN OPERATION,Daily Only,2,N/A,Not Listed,,Not Listed,,Not Listed,,Not Listed,,"42.368194,-71.113667",,FIXED, Pepi Realty Company - Raymond Papi ,Plain(Flat) Access,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
