Cluster,Facility Id,Name,Our total inv left,Competitor total Inv left,Time period
Green Street,97205,45 River St. - Spot #1 Only,,,
Marlborough St.,90079,387 Marlborough St. - Spot #1 Only,,125,
Marlborough St.,85332,477 Beacon St. - Left or Right Spot Only,,125,
Marlborough St.,108788,31 Massachusetts Ave. - Whole Tandem Row,,125,
Marlborough St.,30712,509 Beacon St. - Left and Right Whole Tandem Row,,125,
Calumet St.,24415,"128 Hillside St. - Spots #1, 2, or 3",,125,
Calumet St.,41433,"120 Hillside Street, Boston, MA 02120",,125,
Calumet St.,85136,148 Hillside St. - Lot,,125,
Calumet St.,85128,"23 Iroquois St.- Garage Spot #1, #4 and #5 or Spot #3 Outdoor Spot",,,
Calumet St.,86002,"89 Hillside St. - Spots #2, 3 or 4 Only",,125,
Calumet St.,27276,17 Iroquois St. - Spots #6 & 7,,125,
Calumet St.,100900,"149-151 Calumet St. - Spot #1, 2, 3 or 4 Only",,125,
Calumet St.,24410,21 Iroquois St. - Spot #1-4,,125,
Calumet St.,24411,37 Hillside St. - Spot #1 or 2,,125,
Calumet St.,106740,256 Parker Hill Ave. - Lot,,125,
Calumet St.,85692,"274 Parker Hill Ave. - Garage Spot #1, #2 or #3 Only",,125,
Calumet St.,104629,275 Parker Hill Ave. - Spot #4 Only,,125,
Calumet St.,23225,17 Iroquois St. - Driveway Spot,,125,
Calumet St.,28101,17 Iroquois St - Spot #5,,125,
Calumet St.,46252,17 Iroquois St - Compact Only Spots,,125,
Hillside Street,103575,868 Huntington Ave. - Spot #2,1,125,
Hillside Street,69681,"11 Parker Hill Ave. - Spots #2, 3, 8, 9, or 12",4,125,
Hillside Street,20189,12 Shepherd Ave. - Spots #3-6,3,125,
Hillside Street,24450,"22 Parker Hill Ave. - Spots 1, 2, or 3",2,125,
Hillside Street,69615,"198 Hillside Street - Spots #2, 10, 13, 17 or 18 ONLY",2,125,
Hillside Street,106741,"9 Sunset St. - Spot #3, 4, 5, 6 Only",2,125,
Hillside Street,24444,15 Sunset St. - Spot #1-4,1,125,
Hillside Street,44899,"17 Sunset St. - Spots X, B, C, D or E only",2,125,
Hillside Street,85554,205 Hillside St.- Spot #3,1,125,
Hillside Street,24446,6 Mission St. - Spot #1 or 2,2,125,
Hillside Street,78030,40 Parker Hill Ave. - Spot #4 Only,,125,
Tremont,24452,14 Wigglesworth St. - Spot #1,,125,
Tremont,55458,4 Wigglesworth St - Spot #1 - Alley Entrance,,125,
Tremont,24441,1568 Tremont St. - Spot #1-3,,125,
Tremont,85950,"1550 Tremont St. - Spot #2, 3 or 4 Only",,125,
Tremont,34272,1467 Tremont St. - Spot 11 or 12,,125,
Tremont,93252,700 Parker St. - Spot #3 Only,,125,
Tremont,88202,2 Worthington St. - Left Spot Only,,125,
Tremont,130104,1 Terrace St. (1430 Tremont St.) - Spot #11 or #14 Only,,,
Tremont,140749,2 Worthington St. - Right Spot Only,,125,
