Username,Quantity,Status,Event Name,Event Date,Venue,City,State,Section,Row,Seats,Seat Type,Stock Type,Split Type,Internal Notes,Public Notes,Face,Total Cost,List,Inhand Date,Broadcast
steven-lawrence-3,8,ACTIVE,Weezer Parking,2026-10-17 7:01pm,American Airlines Center - TX Parking,Dallas,TX,INSPIRATION LOT-0.7 MILES,GA4,8-Jan,general_admission,pdf,any,,"Parking Pass Only
0.7 miles from venue",0,45.84,16,2026-10-16T19:01:00.000Z,Y
steven-lawrence-3,8,ACTIVE,Olivia Rodrigo Parking,2026-10-17 7:01pm,TD Garden Parking,Boston,MA,GOVERNMENT CENTER GARAGE - 0.5 MILES,GA4,8-Jan,general_admission,pdf,any,,"Parking Pass Only
0.5 miles from venue",0,308,57,2026-10-16T19:01:00.000Z,Y
steven-lawrence-3,7,ACTIVE,Journey Parking,2026-10-17 7:31pm,Kia Center Parking,Orlando,FL,20 N. ORANGE AVE. SURFACE LOT - 0.4 MILES,GA7,7-Jan,general_admission,pdf,any,,"0.4 miles from venue
Parking pass only",0,74.9,23,2026-10-16T19:31:00.000Z,Y
steven-lawrence-3,10,ACTIVE,Charli XCX Parking,2026-10-17 8:01pm,Kia Forum Parking,Inglewood,CA,323 N. PRAIRIE AVE.- 0.6 MILES AWAY,GA6,10-Jan,general_admission,pdf,any,,"PARKING PASS ONLY
0.6 MILES FROM VENUE",0,175.5,35,2026-10-16T20:01:00.000Z,Y
steven-lawrence-3,20,ACTIVE,Olivia Rodrigo Parking,2026-10-18 7:01pm,TD Garden Parking,Boston,MA,SANOFI PARKING @ CAMBRIDGESIDE GALLERIA - 1.0 MI AWAY,GA8,20-Jan,general_admission,pdf,any,,"Parking pass only
1.0 miles from venue",0,110,18,2026-10-17T19:01:00.000Z,Y
steven-lawrence-3,10,ACTIVE,Charli XCX Parking,2026-10-21 8:01pm,Desert Diamond Arena Parking,Glendale,AZ,6800 N. 95TH AVE.-0.3 MILES,GA4,10-Jan,general_admission,pdf,any,,"PARKING PASS ONLY
0.3 MILES FROM VENUE",0,160.5,33,2026-10-20T20:01:00.000Z,Y
steven-lawrence-3,10,ACTIVE,Charli XCX Parking,2026-10-21 8:01pm,Desert Diamond Arena Parking,Glendale,AZ,6812 N. 95TH AVE.- 0.4 MILES,GA4,10-Jan,general_admission,pdf,any,,"PARKING PASS ONLY
0.4 MILES FROM VENUE",0,267.5,46,2026-10-20T20:01:00.000Z,Y
steven-lawrence-3,8,ACTIVE,Malcolm Todd Parking,2026-10-21 8:01pm,Fox Theater Oakland Parking,Oakland,CA,1440 HARRISON ST. LOT  - 0.5 MILES,GA5,8-Jan,general_admission,pdf,any,,"PARKING PASS ONLY
0.5 MILES FROM VENUE",0,42.8,20,2026-10-20T20:01:00.000Z,Y
steven-lawrence-3,5,ACTIVE,WORSHIP Parking,2026-10-23 7:01pm,Kia Forum Parking,Inglewood,CA,323 N. PRAIRIE AVE. GARAGE - 0.6 MILES,GA9,5-Jan,general_admission,pdf,any,,"PARKING PASS ONLY
0.6 MILES FROM VENUE",0,87.75,35,2026-10-22T19:01:00.000Z,Y
steven-lawrence-3,3,ACTIVE,Ole 60 Parking,2026-10-23 7:01pm,First Security Amphitheatre Parking,Little Rock,AR,THAXTON LOT - 615 SCOTT ST.-0.7 MILES,GA8,3-Jan,general_admission,pdf,any,,"PARKING PASS ONLY
0.7 MILES FROM VENUE",0,10.98,18,2026-10-22T19:01:00.000Z,Y
steven-lawrence-3,17,ACTIVE,Malcolm Todd Parking,2026-10-24 8:01pm,PETCO Park Parking,San Diego,CA,1136 C ST.- 0.7 MILES,GA3,17-Jan,general_admission,pdf,any,,0.7 MILES FROM VENUE Parking pass only.,0,90.95,20,2026-10-23T20:01:00.000Z,Y
steven-lawrence-3,4,ACTIVE,Sombr Parking,2026-10-25 7:01pm,Kia Center Parking,Orlando,FL,PLAZA PARKING GARAGE ORLANDO- 0.4 MILES,GA9,4-Jan,general_admission,pdf,any,,"Parking Pass Only
0.4 miles from venue",0,39.6,22,2026-10-24T19:01:00.000Z,Y
steven-lawrence-3,10,ACTIVE,Sombr Parking,2026-10-25 7:01pm,Kia Center Parking,Orlando,FL,51 W. CENTRAL BLVD.- 0.4 MILES,GA9,10-Jan,general_admission,pdf,any,,"Parking passes only
0.4 miles away from venue",0,106,23,2026-10-24T19:01:00.000Z,Y
steven-lawrence-3,3,READY,Teddy Swims Parking,2026-10-27 7:01pm,Toyota Center - TX Parking,Houston,TX,ATHENS HOTEL & SUITES - 1308 CLAY ST GARAGE (0.3 MILES),0,3-Jan,general_admission,pdf,any,,"parking pass onlyÂ´
0.3 miles from venue",0,45,32,2026-10-26T19:01:00.000Z,Y
steven-lawrence-3,20,ACTIVE,Young Miko Parking,2026-10-29 8:01pm,Kia Center Parking,Orlando,FL,20 N. ORANGE AVE. SURFACE LOT -0.4 MIL4E,GA4,20-Jan,general_admission,pdf,any,,"Parking pass only
0.4 miles from venue",0,212,22,2026-10-28T20:01:00.000Z,Y
steven-lawrence-3,9,ACTIVE,Sombr Parking,2026-10-31 7:01pm,T-Mobile Center Parking,Kansas City,MO,1200 OAK ST- 0.1 MILES,GA3,9-Jan,general_admission,pdf,any,,"PARKING PASS ONLY
0.1 MILES FROM VENUE",0,62.01,18,2026-10-30T19:01:00.000Z,Y
steven-lawrence-3,10,ACTIVE,Young Miko Parking,2026-10-31 8:01pm,State Farm Arena Parking,Atlanta,GA,305 WILLIAMS ST. NW LOT- 0.7 MILES,GA6,10-Jan,general_admission,pdf,any,,"Parking pass only
0.7 miles from venue",0,162.4,30,2026-10-30T20:01:00.000Z,Y
steven-lawrence-3,10,ACTIVE,Sombr Parking,2026-11-01 7:01pm,Target Center Parking,Minneapolis,MN,811 LASALLE AVE. - 0.3 MILES,GA4,10-Jan,general_admission,pdf,any,,"Parking pass only
0.3 miles from venue",0,74.2,21,2026-10-31T19:01:00.000Z,Y
